Rank,grid_id,Crime_T1,Target_Period,longitude,latitude
1,1299,11,202302,-82.5423775208,27.3432658249
2,1876,7,202302,-82.5454713298,27.3460045531
3,449,4,202302,-82.5408106431,27.3377703438
4,881,4,202302,-82.5408039673,27.3363949798
5,2548,5,202302,-82.5470115361,27.3459985296
6,140,1,202302,-82.5392638921,27.336400933
7,1314,0,202302,-82.5315831958,27.3405565411
8,1661,0,202302,-82.5316751222,27.3598116289
9,193,4,202302,-82.542344042,27.3363890098
10,1319,0,202302,-82.5501938965,27.3666168016
11,1198,2,202302,-82.5299318818,27.3171811377
12,853,0,202302,-82.5238631145,27.3364595304
13,1850,3,202302,-82.5300496049,27.3419377589
14,2125,3,202302,-82.5331760006,27.3515535829
15,1427,9,202302,-82.5301150717,27.3556913992
16,1453,2,202302,-82.5054510132,27.3514738009
17,2076,2,202302,-82.5424579184,27.3597701535
18,2753,1,202302,-82.548551742,27.3459924891
19,2571,1,202302,-82.5284768295,27.3350667625
20,873,2,202302,-82.5392838639,27.340527025
21,1189,2,202302,-82.542384218,27.3446411871
22,551,1,202302,-82.5409108369,27.35840077
23,1994,0,202302,-82.5238695812,27.3378348982
24,1099,2,202302,-82.5424512159,27.3583947943
25,1340,1,202302,-82.5300954268,27.35156531
26,772,0,202302,-82.5299841846,27.3281840914
27,1231,1,202302,-82.5315635092,27.3364304439
28,246,0,202302,-82.5362764459,27.3556678731
29,1114,1,202302,-82.5438774029,27.3350076592
30,1931,0,202302,-82.4976816877,27.3365552502
31,1573,0,202302,-82.5454107258,27.3336262921
32,1135,1,202302,-82.5347559234,27.3597998638
33,1681,0,202302,-82.5300234312,27.3364362952
34,1383,0,202302,-82.5470520745,27.3542506892
35,1326,2,202302,-82.5392705489,27.3377762972
36,1163,1,202302,-82.5469642633,27.3363709976
37,2671,3,202302,-82.5331891729,27.354304308
38,120,2,202302,-82.5332221117,27.3611811159
39,2451,1,202302,-82.5331957597,27.3556796701
40,113,0,202302,-82.5501870965,27.3652414455
41,2114,1,202302,-82.5285094504,27.3419435946
42,2142,0,202302,-82.540797292,27.3350196156
43,2184,3,202302,-82.5438908301,27.3377583859
44,116,2,202302,-82.5315766331,27.3391811756
45,910,2,202302,-82.5423507368,27.3377643733
46,2505,1,202302,-82.5392772062,27.3391516612
47,1706,0,202302,-82.5332089348,27.3584303935
48,150,1,202302,-82.5378300775,27.3584126704
49,2606,1,202302,-82.5238760484,27.3392102656
50,2420,2,202302,-82.5454645941,27.3446291918
51,404,1,202302,-82.5362830712,27.3570432342
52,593,0,202302,-82.5347493162,27.3584245028
53,2348,3,202302,-82.5316816918,27.3611869903
54,506,0,202302,-82.5298534835,27.3006766746
55,2117,2,202302,-82.4915213334,27.3365770596
56,2510,2,202302,-82.5439244063,27.344635198
57,705,1,202302,-82.531668553,27.3584362673
58,1077,0,202302,-82.5548633793,27.3762259888
59,37,1,202302,-82.5177447387,27.3514241268
60,1983,1,202302,-82.5300365171,27.3391870276
61,983,0,202302,-82.542444514,27.3570194348
62,1619,0,202302,-82.5439378401,27.3473859209
63,459,1,202302,-82.533215523,27.3598057548
64,1350,0,202302,-82.5316028866,27.3446826358
65,2010,1,202302,-82.542424411,27.3528933547
66,1744,0,202302,-82.5299384181,27.3185565079
67,2401,0,202302,-82.5254031944,27.3364537471
68,799,0,202302,-82.5301281707,27.358442124
69,1411,0,202302,-82.5378367228,27.3597880306
70,1606,0,202302,-82.530075786,27.3474392183
71,2307,0,202302,-82.5362963234,27.3597939557
72,2384,2,202302,-82.534736103,27.3556737801
73,375,1,202302,-82.5301347208,27.359817486
74,227,0,202302,-82.5347427094,27.3570491416
75,792,0,202302,-82.4976878313,27.3379306236
76,1262,0,202302,-82.5393504672,27.3542806473
77,2301,1,202302,-82.5301019746,27.3529406734
78,1904,0,202302,-82.5393771218,27.3597820886
79,1743,0,202302,-82.540904154,27.3570254101
80,1991,0,202302,-82.5532953938,27.3707306896
81,2101,0,202302,-82.5533227567,27.3762321051
82,2130,2,202302,-82.5130762096,27.3351241683
83,691,1,202302,-82.5500783624,27.343235711
84,699,0,202302,-82.5392572358,27.3350255684
85,34,3,202302,-82.5115487739,27.3378805566
86,2725,3,202302,-82.5408306733,27.3418964339
87,732,1,202302,-82.5517412063,27.3679860773
88,1334,1,202302,-82.5316225816,27.3488087281
89,877,0,202302,-82.5332287009,27.3625564766
90,293,1,202302,-82.536269821,27.3542925116
91,85,0,202302,-82.5393704575,27.3584067287
92,1040,0,202302,-82.5470047814,27.3446231687
93,1549,0,202302,-82.5378101443,27.354286588
94,1578,0,202302,-82.5378234326,27.3570373098
95,1279,0,202302,-82.5331167487,27.3391753067
96,1700,2,202302,-82.5438841163,27.3363830227
97,1798,0,202302,-82.5532885542,27.369355335
98,617,2,202302,-82.5331035867,27.3364245757
99,126,0,202302,-82.5548565188,27.3748506357
100,133,0,202302,-82.5377370925,27.3391575981
